id,furniture_id,style,room,name,type,price,image_link,purchase_link
11,CT003,MODERN,BEDROOM,JAKOBSFORS_1,coffee table,599,https://www.ikea.com/my/en/images/products/jakobsfors-coffee-table-dark-brown-stained-oak-veneer__1108164_pe869323_s5.jpg?f=xl,https://www.ikea.com/my/en/p/jakobsfors-coffee-table-dark-brown-stained-oak-veneer-30515168/
12,BKC001,MODERN,BEDROOM,BILLY,bookcase,359,https://www.ikea.com/my/en/images/products/billy-bookcase-black-oak-effect__1097080_pe864708_s5.jpg?f=xl,https://www.ikea.com/my/en/p/billy-bookcase-black-oak-effect-20477341/
13,BKC002,MODERN,BEDROOM,BRIMNES,bookcase,529,https://www.ikea.com/my/en/images/products/brimnes-bookcase-black__0427999_pe583197_s5.jpg?f=xl,https://www.ikea.com/my/en/p/brimnes-bookcase-black-30351685/
14,BKC003,MODERN,BEDROOM,GERSBY,bookcase,129,https://www.ikea.com/my/en/images/products/gersby-bookcase-white__0251910_pe390723_s5.jpg?f=xl,https://www.ikea.com/my/en/p/gersby-bookcase-white-60360730/
15,SF001,MODERN,LIVING ROOM,SÃ–DERHAMN,sofa,"1,690",https://www.ikea.com/my/en/images/products/soederhamn-3-seat-section-gransel-natural-colour__1057493_pe848854_s5.jpg?f=xl,https://www.ikea.com/my/en/p/soederhamn-3-seat-section-gransel-natural-colour-s29442093/
16,SF002,MODERN,LIVING ROOM,LILLEHEM_1,sofa,"1,750",https://www.ikea.com/my/en/images/products/lillehem-modular-corner-sofa-2-seat-gunnared-dark-grey-metal__1247094_pe922507_s5.jpg?f=xl,https://www.ikea.com/my/en/p/lillehem-modular-corner-sofa-2-seat-gunnared-dark-grey-metal-s59536306/
17,SF003,MODERN,LIVING ROOM,LINANÃ„S,sofa,"1,495",https://www.ikea.com/my/en/images/products/linanaes-3-seat-sofa-with-chaise-longue-vissle-beige__1013903_pe829455_s5.jpg?f=xl,https://www.ikea.com/my/en/p/linanaes-3-seat-sofa-with-chaise-longue-vissle-beige-50512239/
18,CH004,MODERN,LIVING ROOM,POÃ„NG,chair,309,https://www.ikea.com/my/en/images/products/poaeng-armchair-birch-veneer-knisa-light-beige__0571500_pe666933_s5.jpg?f=xl,https://www.ikea.com/my/en/p/poaeng-armchair-birch-veneer-knisa-light-beige-s19240788/
19,CH005,MODERN,LIVING ROOM,Ã…RSUNDA,chair,199,https://www.ikea.com/my/en/images/products/arsunda-armchair-knisa-light-grey__1276550_pe930953_s5.jpg?f=xl,https://www.ikea.com/my/en/p/arsunda-armchair-knisa-light-grey-70535895/
20,CH006,MODERN,LIVING ROOM,EKENÃ„SET,chair,899,https://www.ikea.com/my/en/images/products/ekenaeset-armchair-kilanda-light-beige__1109687_pe870153_s5.jpg?f=xl,https://www.ikea.com/my/en/p/ekenaeset-armchair-kilanda-light-beige-70533491/
21,CT004,MODERN,LIVING ROOM,IDANÃ„S,coffee table,999,https://www.ikea.com/my/en/images/products/idanaes-coffee-table-dark-brown-stained__1161066_pe889274_s5.jpg?f=xl,https://www.ikea.com/my/en/p/idanaes-coffee-table-dark-brown-stained-90500003/
